arc,conv,asp,pID,sID,dirDate,dirJD
25.978371416284347,0,90.0,2,1,9/25/2032 4:30:0,2463500.687511388
-26.55731921841783,0,60.0,5,9,4/25/2033 12:5:0,2463713.0034591667
26.756576545539872,0,-180.0,7,0,7/7/2033 5:35:0,2463785.7323835664
26.83625714073372,0,60.0,6,5,8/5/2033 7:35:0,2463814.815800812
27.062919503879783,0,120.0,10,6,10/27/2033 1:8:0,2463897.5475633605
27.18905505684208,0,0.0,9,24,12/12/2033 2:5:0,2463943.5870401915
28.304640149083042,0,0.0,0,25,1/23/2035 6:37:0,2464350.7755988594
28.33995203793691,0,90.0,10,24,2/5/2035 3:57:0,2464363.664438291
-28.377234234681424,0,60.0,0,25,2/18/2035 18:32:0,2464377.272440103
28.575282802647962,0,-90.0,1,9,5/2/2035 1:27:0,2464449.560167411
-28.910789414127464,0,60.0,4,5,9/1/2035 12:29:0,2464572.020080601
-28.938970846888395,0,-90.0,8,4,9/11/2035 19:21:0,2464582.3063035584
29.050174467487864,0,60.0,5,8,10/22/2035 9:30:0,2464622.895625077
29.110184090158157,0,60.0,9,10,11/13/2035 7:11:0,2464644.799137352
-29.226547750033433,0,-60.0,8,5,12/25/2035 18:31:0,2464687.2718732064
-29.385428606464103,0,-120.0,7,0,2/21/2036 18:19:0,2464745.2633858034
29.70517451800879,0,60.0,0,28,6/17/2036 11:18:0,2464861.9706435176
30.191372288705537,0,-60.0,2,3,12/12/2036 22:23:0,2465040.4328298215
30.235513692492077,0,120.0,0,7,12/29/2036 1:4:0,2465056.544442204
-30.253372107531163,0,120.0,5,8,1/4/2037 13:30:0,2465063.0627636933
-30.3417772641803,0,120.0,1,28,2/5/2037 19:56:0,2465095.33064587
-30.41443800069726,0,-90.0,9,6,3/4/2037 8:27:0,2465121.851814699
-30.839277265553022,0,0.0,5,4,8/6/2037 10:2:0,2465276.918146371
31.010920953131944,0,-120.0,8,5,10/8/2037 1:54:0,2465339.5790132903
31.07772820295284,0,60.0,1,24,11/1/2037 12:44:0,2465364.030466725
31.122507089479626,0,-120.0,10,9,11/17/2037 22:4:0,2465380.4195391936
31.28293075334946,0,0.0,4,5,1/15/2038 15:14:0,2465439.13460017
-31.361003918029496,0,-180.0,10,6,2/13/2038 5:2:0,2465467.709378443
31.386221682937787,0,90.0,4,8,2/22/2038 10:32:0,2465476.9390803995
31.66756955686577,0,-180.0,6,10,6/5/2038 9:54:0,2465579.9124022573
32.71013962588219,0,-180.0,7,4,6/20/2039 6:47:0,2465959.782907891
-32.7898002185176,0,60.0,3,2,7/19/2039 8:37:0,2465988.859024203
-32.84831111559145,0,90.0,10,28,8/9/2039 17:10:0,2466010.2155016353
-33.178301624407084,0,-60.0,10,9,12/8/2039 8:10:0,2466130.840338977
-33.452353747093326,0,90.0,6,4,3/17/2040 15:27:0,2466231.1434158804
33.56244118923291,0,-60.0,10,1,4/26/2040 22:27:0,2466271.4354197034
-33.601773468739566,0,0.0,2,24,5/11/2040 7:57:0,2466285.831034003
33.68390190986902,0,-120.0,5,6,6/10/2040 9:22:0,2466315.890043456
-33.85416623797541,0,180.0,9,28,8/11/2040 16:58:0,2466378.2067875434
34.04471876312755,0,0.0,4,25,10/20/2040 9:42:0,2466447.904292986
-34.067622067713955,0,120.0,6,5,10/28/2040 18:20:0,2466456.26399916
34.099137576864365,0,-180.0,10,2,11/9/2040 6:25:0,2466467.76716
34.198111488143866,0,90.0,5,10,12/15/2040 9:25:0,2466503.892637617
34.316728563345066,0,120.0,8,25,1/27/2041 16:31:0,2466547.187870065
-34.47779355126775,0,-120.0,7,3,3/27/2041 11:26:0,2466605.976590657
-34.63420441926445,0,60.0,3,25,5/23/2041 13:36:0,2466663.066557476
34.770212483893204,0,-180.0,1,3,7/12/2041 5:2:0,2466712.7095010653
34.86078028012639,0,90.0,6,9,8/14/2041 6:24:0,2466745.7667466905
-34.892533927230716,0,-90.0,8,0,8/25/2041 20:34:0,2466757.3568278835
35.0457034941966,0,-90.0,9,2,10/20/2041 18:20:0,2466813.263719826
-35.04816544307846,0,90.0,9,8,10/21/2041 15:54:0,2466814.162331168
35.283737233509186,0,-60.0,2,0,1/15/2042 15:30:0,2466900.146034675
-35.9947313604107,0,0.0,10,8,10/2/2042 3:49:0,2467159.6588909943
36.01994912531897,0,-90.0,4,6,10/11/2042 8:43:0,2467168.8633751855
36.06293686750354,0,0.0,8,10,10/27/2042 1:18:0,2467184.553901083
36.29837030463719,0,60.0,2,24,1/20/2043 23:41:0,2467270.487105637
-36.31475036742407,0,60.0,6,28,1/26/2043 23:11:0,2467276.465828554
36.352505549643695,0,120.0,4,10,2/9/2043 17:55:0,2467290.246470064
36.492483877075074,0,120.0,3,7,4/1/2043 20:8:0,2467341.338559577
-36.66632081597501,0,90.0,2,25,6/4/2043 6:56:0,2467404.789042275
-36.79284034589534,0,0.0,5,0,7/20/2043 11:15:0,2467450.968670696
-36.92337045050425,0,0.0,9,5,9/6/2043 2:42:0,2467498.6121588782
